Age,Education Level,SACCO Membership,Farming Experience,Marital Status,Annual Income,Loan Amount,Loan-To-Income Ratio,Debt-To-Income Ratio,Repayment History,Savings Contributions,Savings-To-Income Ratio,Loan Purpose,SACCO Contribution Frequency,Timeliness of Contributions,Borrower-Requested Loan Adjustments,Weather Risks,Pest Outbreaks,Inflation Rate,Farm Size,Crop Type,Crop Diversification,Irrigation Access,Annual Yield,Historical Yield Trends,Soil Quality,Livestock Ownership,Use of Technology,Farm Input Usage,Average Selling Price,Contracts with Buyers,Storage Availability
37,None,No,29,Divorced,405973,1373124,3.382303749,0.444792602,Fair,120158,0.295975348,Farm Expansion,Quarterly,On-time,Yes,High,Yes,6.929779532,35,HB-Apples/Mangoes/Oranges/Garlic,No,Seasonal,52,Stable,Poor,Yes,High,Organic,238,Yes,Yes
37,Secondary,No,49,Widowed,415336,518528,1.248454264,0.826002393,Good,3963,0.009541672,Personal Use,Monthly,On-time,No,High,Yes,4.601794139,60,NHB - DryPeas/Rice,Yes,No_Irrigation,88,Stable,Moderate,Yes,Low,Organic,352,No,No
32,Higher Education,Yes,33,Widowed,33842,1924029,56.85328881,0.514906146,Good,47870,1.414514509,Debt_consolidation,Annually,On-time,No,Moderate,Yes,5.663485593,22,Livestock- Dairy/Poultry,Yes,Seasonal,48,Stable,Poor,Yes,Low,Chemical,418,Yes,Yes
57,Higher Education,Yes,18,Divorced,1259231,2943778,2.337758521,0.844141792,Good,192853,0.153151407,Debt_consolidation,Quarterly,Delayed,No,Low,Yes,4.603518255,64,Livestock- Dairy/Poultry,Yes,No_Irrigation,64,Stable,Good,No,High,Chemical,209,Yes,No
50,Secondary,Yes,17,Divorced,1442252,1535361,1.064558066,0.585206411,Good,41843,0.029012267,Machinery Purchase,Semi-Annually,On-time,No,Moderate,No,6.072778658,95,NHA - DryMaize/Wheat/IrishPotatoes,Yes,Seasonal,31,Stable,Good,Yes,Low,Mixed,357,Yes,No
19,Higher Education,Yes,29,Widowed,1504254,487681,0.324201232,0.898538356,Good,130547,0.08678521,Harvesting Costs,Quarterly,Delayed,Yes,High,Yes,5.110858902,18,NHA - DryMaize/Wheat/IrishPotatoes,Yes,Seasonal,14,Stable,Good,No,Low,Mixed,147,Yes,Yes
27,Primary,No,20,Single,1000885,529214,0.52874606,0.892096177,Fair,147337,0.147206722,Machinery Purchase,Annually,On-time,No,Low,Yes,3.950092552,39,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,Yes,No_Irrigation,93,Decreasing,Poor,Yes,High,Mixed,225,Yes,Yes
50,Primary,No,2,Married,271291,3299437,12.16198473,0.395472977,Good,25455,0.093829136,Machinery Purchase,Semi-Annually,On-time,No,High,Yes,4.085224405,80,HC-Kales/Grapes,Yes,Seasonal,47,Decreasing,Good,Yes,High,Organic,317,No,No
49,Primary,Yes,5,Divorced,1306083,4887891,3.742404579,0.463982449,Fair,158815,0.121596407,Farm Expansion,Quarterly,On-time,No,Low,Yes,4.03223685,2,HC-Kales/Grapes,Yes,Seasonal,15,Stable,Good,No,Low,Organic,409,Yes,Yes
28,Higher Education,No,37,Widowed,184936,3335066,18.03362244,0.590182622,Fair,26136,0.141324566,Machinery Purchase,Quarterly,Delayed,Yes,Moderate,Yes,5.129281313,16,HB-Apples/Mangoes/Oranges/Garlic,Yes,No_Irrigation,47,Increasing,Good,Yes,High,Organic,368,Yes,No
41,Secondary,Yes,12,Divorced,468310,1580346,3.374572399,0.65952361,Good,77999,0.166554206,Machinery Purchase,Monthly,On-time,No,High,No,5.812756064,87,HC-Kales/Grapes,No,No_Irrigation,46,Decreasing,Good,Yes,High,Chemical,186,Yes,Yes
53,None,No,44,Married,1394084,1732753,1.242932994,0.44142047,Good,177367,0.127228345,Farm Expansion,Semi-Annually,Delayed,Yes,Moderate,Yes,6.7971196,18,Others,Yes,Seasonal,98,Stable,Poor,Yes,Medium,Chemical,240,Yes,Yes
29,None,No,2,Divorced,1542806,4313444,2.795843418,0.587916508,Good,85662,0.055523507,Machinery Purchase,Semi-Annually,On-time,Yes,Moderate,No,5.7763495,54,HB-Apples/Mangoes/Oranges/Garlic,Yes,Seasonal,5,Decreasing,Good,Yes,Low,Mixed,181,No,Yes
68,Primary,No,47,Married,898604,1167392,1.299117297,0.208827425,Good,120392,0.133976702,Farm Expansion,Semi-Annually,On-time,No,Moderate,No,6.124771376,23,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,Yes,No_Irrigation,11,Increasing,Moderate,Yes,Low,Organic,489,No,Yes
46,None,No,27,Single,686467,3856250,5.617531506,0.712627515,Good,70988,0.103410652,Debt_consolidation,Quarterly,On-time,Yes,Low,No,3.675704463,78,NHA - DryMaize/Wheat/IrishPotatoes,Yes,No_Irrigation,64,Decreasing,Moderate,Yes,Low,Chemical,157,No,Yes
52,Higher Education,No,21,Divorced,1555094,2840898,1.826833619,0.358407336,Good,92986,0.059794456,Harvesting Costs,Quarterly,On-time,No,Moderate,No,4.4962505,48,NHA - DryMaize/Wheat/IrishPotatoes,Yes,No_Irrigation,19,Decreasing,Poor,Yes,Low,Organic,360,No,Yes
18,Secondary,Yes,39,Divorced,1718866,426860,0.248338149,0.138678768,Fair,108925,0.063370269,Farm Expansion,Annually,On-time,No,Moderate,No,4.655120879,67,HB-Apples/Mangoes/Oranges/Garlic,No,Seasonal,73,Decreasing,Good,Yes,Low,Chemical,281,No,No
18,Higher Education,No,39,Widowed,1640172,2443498,1.489781559,0.204488503,Fair,183786,0.112052882,Personal Use,Monthly,Delayed,No,Low,Yes,5.74552092,12,NHB - DryPeas/Rice,No,Seasonal,59,Decreasing,Moderate,No,High,Organic,219,Yes,Yes
54,Higher Education,No,11,Single,374134,1855143,4.958498827,0.195786466,Good,176368,0.471403294,Labor costs,Annually,On-time,No,Moderate,No,4.183567906,10,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,No,Seasonal,74,Stable,Poor,No,Low,Chemical,360,Yes,No
23,Secondary,Yes,22,Widowed,1804917,187520,0.103893974,0.384839127,Good,158957,0.08806887,Farm Inputs,Monthly,On-time,Yes,Moderate,No,4.213167686,41,Livestock- Dairy/Poultry,No,No_Irrigation,14,Increasing,Good,Yes,Low,Chemical,331,Yes,Yes
56,None,Yes,30,Divorced,881803,97042,0.110049524,0.321881315,Fair,102670,0.116431901,Harvesting Costs,Annually,On-time,No,Moderate,Yes,4.423556619,55,NHA - DryMaize/Wheat/IrishPotatoes,No,No_Irrigation,13,Stable,Good,No,Medium,Chemical,415,No,Yes
58,Secondary,Yes,17,Widowed,685525,1124790,1.640771671,0.606504812,Fair,73614,0.107383392,Machinery Purchase,Monthly,On-time,No,Low,No,6.241208326,52,NHA - DryMaize/Wheat/IrishPotatoes,No,No_Irrigation,30,Decreasing,Good,No,High,Chemical,440,No,Yes
35,Higher Education,No,6,Single,1035353,3334226,3.220376046,0.915718805,Fair,9804,0.009469234,Labor costs,Annually,On-time,Yes,Low,No,5.31036036,48,Others,No,Seasonal,79,Decreasing,Poor,Yes,Low,Mixed,121,Yes,No
33,Secondary,Yes,7,Single,1976180,1896644,0.959752654,0.622096222,Good,87465,0.044259632,Farm Expansion,Quarterly,On-time,No,High,Yes,3.301109119,5,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,No,Seasonal,78,Decreasing,Moderate,Yes,Low,Organic,282,Yes,No
22,Secondary,Yes,18,Divorced,326086,2636345,8.084815049,0.638143057,Good,125533,0.384968996,Farm Expansion,Monthly,On-time,No,Moderate,Yes,3.312984399,11,Livestock- Dairy/Poultry,Yes,Seasonal,10,Increasing,Good,Yes,Low,Chemical,497,Yes,Yes
59,Primary,No,28,Single,1133149,1865385,1.64619569,0.314239171,Good,99875,0.088139336,Farm Inputs,Semi-Annually,On-time,No,Low,No,4.485147777,7,Livestock- Dairy/Poultry,Yes,Seasonal,47,Increasing,Moderate,Yes,Low,Chemical,399,Yes,Yes
60,Primary,Yes,43,Divorced,409253,3720628,9.091266283,0.622798547,Good,152204,0.371906864,Farm Expansion,Monthly,On-time,No,Moderate,No,6.066364202,45,HB-Apples/Mangoes/Oranges/Garlic,Yes,No_Irrigation,61,Stable,Good,No,High,Organic,304,Yes,Yes
49,Higher Education,Yes,19,Widowed,851211,775082,0.910563891,0.231283139,Good,182125,0.213959876,Debt_consolidation,Annually,On-time,No,Low,No,5.754733706,73,NHB - DryPeas/Rice,No,No_Irrigation,77,Decreasing,Moderate,Yes,Medium,Chemical,88,No,No
19,Higher Education,No,49,Divorced,1083823,4335508,4.000199295,0.402067881,Fair,117997,0.108871098,Machinery Purchase,Quarterly,On-time,Yes,Low,Yes,5.831929419,9,Others,Yes,No_Irrigation,30,Increasing,Moderate,Yes,Medium,Chemical,313,Yes,Yes
19,None,Yes,41,Divorced,1373537,92506,0.06734875,0.662975174,Good,176779,0.128703486,Machinery Purchase,Monthly,On-time,Yes,Low,No,6.068840264,73,Others,No,No_Irrigation,76,Decreasing,Moderate,No,Low,Organic,420,Yes,No
57,Higher Education,Yes,29,Widowed,1307443,4592476,3.512563072,0.425175113,Good,23616,0.018062738,Labor costs,Semi-Annually,On-time,No,High,Yes,4.148610852,19,HB-Apples/Mangoes/Oranges/Garlic,No,Seasonal,25,Stable,Moderate,No,Medium,Mixed,477,Yes,Yes
59,None,Yes,46,Single,1083389,224305,0.207040131,0.919894589,Fair,82841,0.076464686,Harvesting Costs,Semi-Annually,On-time,No,Moderate,No,5.193025128,3,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,Yes,No_Irrigation,60,Stable,Moderate,Yes,Medium,Mixed,457,Yes,Yes
53,None,Yes,21,Single,844803,1912053,2.263312275,0.890643361,Fair,39607,0.046883119,Labor costs,Semi-Annually,Delayed,Yes,Low,No,5.173410561,70,HC-Kales/Grapes,Yes,Seasonal,73,Increasing,Moderate,No,Medium,Chemical,266,Yes,No
56,Secondary,No,9,Single,1368074,3871735,2.830062555,0.490740019,Good,98620,0.072086744,Labor costs,Quarterly,On-time,Yes,Moderate,No,5.958530005,94,HB-Apples/Mangoes/Oranges/Garlic,Yes,Seasonal,16,Stable,Good,Yes,Medium,Mixed,335,No,No
29,Secondary,No,25,Married,106648,1238768,11.61548271,0.56585089,Good,154970,1.453098042,Farm Expansion,Semi-Annually,On-time,No,Low,No,6.827482276,30,HC-Kales/Grapes,No,No_Irrigation,55,Increasing,Moderate,No,Medium,Mixed,357,Yes,Yes
64,Higher Education,No,32,Divorced,590350,2992330,5.068738884,0.527201189,Fair,10481,0.017753875,Harvesting Costs,Monthly,On-time,No,Moderate,Yes,4.111959779,28,Others,Yes,Seasonal,33,Decreasing,Good,Yes,High,Chemical,451,Yes,Yes
36,Primary,No,27,Single,1297449,2125937,1.638551496,0.265926336,Good,172140,0.132675735,Personal Use,Annually,On-time,No,Moderate,No,6.173126691,18,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,No,No_Irrigation,81,Increasing,Good,Yes,High,Chemical,234,No,No
45,Primary,No,9,Married,485157,4956201,10.21566421,0.49128458,Good,196505,0.405033834,Labor costs,Annually,On-time,No,Low,No,5.639882194,59,Livestock- Dairy/Poultry,No,Seasonal,12,Stable,Good,No,High,Mixed,349,Yes,No
18,None,Yes,28,Divorced,1081533,773250,0.71495738,0.268796742,Fair,76358,0.070601637,Machinery Purchase,Monthly,On-time,Yes,Moderate,Yes,5.320951483,12,HC-Kales/Grapes,Yes,No_Irrigation,16,Decreasing,Moderate,Yes,Medium,Chemical,467,Yes,Yes
32,Higher Education,Yes,43,Widowed,1567733,1622050,1.034646844,0.743687051,Good,119146,0.075998911,Debt_consolidation,Annually,Delayed,No,High,Yes,6.099519117,50,NHA - DryMaize/Wheat/IrishPotatoes,No,No_Irrigation,26,Stable,Poor,Yes,High,Chemical,354,Yes,No
53,None,Yes,17,Divorced,48870,508396,10.40302844,0.57070575,Poor,123707,2.531348476,Debt_consolidation,Semi-Annually,Delayed,Yes,High,No,6.776129866,73,HC-Kales/Grapes,Yes,No_Irrigation,22,Decreasing,Good,Yes,Medium,Mixed,256,No,No
30,Secondary,Yes,41,Divorced,1542304,1624472,1.053276138,0.388508795,Fair,185195,0.120076846,Machinery Purchase,Quarterly,On-time,No,Moderate,No,3.146765671,89,NHB - DryPeas/Rice,Yes,No_Irrigation,23,Decreasing,Poor,Yes,Medium,Organic,412,No,No
60,Higher Education,Yes,0,Widowed,396030,80105,0.20227003,0.102789587,Good,152117,0.38410474,Machinery Purchase,Annually,Delayed,Yes,Moderate,No,3.58960041,4,NHB - DryPeas/Rice,No,Seasonal,82,Decreasing,Moderate,Yes,High,Mixed,476,Yes,No
38,Higher Education,Yes,22,Married,1651591,1896506,1.148290345,0.637572646,Fair,2291,0.001387147,Personal Use,Semi-Annually,On-time,No,Low,No,6.025148926,12,Others,No,Seasonal,93,Decreasing,Good,No,Low,Mixed,258,No,No
29,Primary,No,16,Single,314805,1475692,4.687638379,0.684170501,Good,189813,0.60295421,Harvesting Costs,Annually,On-time,No,Low,No,3.335165412,58,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,Yes,No_Irrigation,92,Stable,Good,No,Medium,Mixed,289,Yes,No
22,Higher Education,Yes,42,Single,1623695,4911586,3.024943724,0.104670665,Fair,36300,0.022356415,Farm Expansion,Monthly,On-time,No,Moderate,Yes,5.064494803,51,NHB - DryPeas/Rice,No,Seasonal,73,Increasing,Good,Yes,Medium,Chemical,179,Yes,No
24,Primary,No,36,Single,662673,2605587,3.931934755,0.973199624,Fair,166969,0.251962884,Machinery Purchase,Monthly,On-time,No,Moderate,No,3.879443107,16,Livestock- Dairy/Poultry,Yes,Seasonal,92,Decreasing,Good,No,High,Mixed,412,No,Yes
22,Higher Education,Yes,30,Widowed,1842325,2784252,1.511270813,0.697479461,Good,26754,0.014521868,Farm Expansion,Annually,On-time,No,Moderate,No,4.097182815,58,Livestock- Dairy/Poultry,No,Seasonal,93,Stable,Good,No,Medium,Chemical,103,No,No
65,Secondary,Yes,24,Widowed,1568214,1470086,0.937426907,0.363829962,Good,13230,0.008436349,Personal Use,Annually,On-time,No,Moderate,Yes,5.807361932,4,Others,No,No_Irrigation,31,Stable,Good,Yes,Medium,Organic,498,No,No
21,None,Yes,3,Single,1097884,1442640,1.314018603,0.28032789,Fair,51863,0.047239053,Labor costs,Semi-Annually,On-time,No,High,No,3.120771093,61,HC-Kales/Grapes,No,Seasonal,42,Stable,Poor,Yes,Medium,Mixed,293,Yes,No
30,Primary,No,8,Divorced,144490,4303834,29.78637968,0.933131937,Good,31306,0.216665513,Harvesting Costs,Annually,On-time,No,Moderate,Yes,6.493277712,40,Others,Yes,Seasonal,10,Increasing,Good,Yes,High,Organic,433,Yes,No
54,Primary,Yes,27,Divorced,346458,2659859,7.677291331,0.378326161,Fair,195069,0.563037944,Machinery Purchase,Quarterly,Delayed,Yes,Low,Yes,4.777915821,86,NHA - DryMaize/Wheat/IrishPotatoes,Yes,Seasonal,53,Stable,Good,No,Low,Mixed,106,Yes,Yes
58,Higher Education,Yes,29,Single,1352459,4741675,3.5059658,0.46289623,Fair,144252,0.106659056,Harvesting Costs,Annually,On-time,No,High,Yes,5.009573176,30,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,Yes,No_Irrigation,44,Stable,Poor,Yes,Low,Chemical,193,Yes,No
32,Higher Education,Yes,46,Single,588486,3584790,6.091546783,0.669755806,Good,137874,0.234285947,Labor costs,Monthly,On-time,No,Moderate,No,5.160191855,54,HB-Apples/Mangoes/Oranges/Garlic,Yes,Seasonal,82,Increasing,Good,Yes,High,Organic,386,Yes,No
